Taxonomic Group,Scientific Name,Common Name,2022 SGCN Tier,2012 SGCN Tier,Extirpated Status,Federal State Legal Status,Declining Status,Disjunct Status,Demographic Status,Concentration Status,Distribution Status
Amphibian,Hyla wrightorum (Huachuca-Canelo Hills Population),Arizona Treefrog (Huachuca-Canelo Hills Population),1,2,2,1,2,1,2,2,1
Amphibian,Rana chiricahuensis,Chiricahua Leopard Frog,1,1,2,1,2,2,1,2,2
Amphibian,Rana yavapaiensis,Lowland Leopard Frog,1,1,2,1,1,2,1,2,1
Amphibian,Rana pipiens,Northern Leopard Frog,1,1,2,1,1,1,1,2,2
Amphibian,Rana blairi,Plains Leopard Frog,1,1,2,1,0,1,0,0,2
Amphibian,Rana onca,Relict Leopard Frog,1,1,2,1,2,1,2,2,2
Amphibian,Ambystoma mavortium stebbinsi,Sonoran Tiger Salamander,1,1,2,1,2,2,2,1,1
Amphibian,Rana tarahumarae,Tarahumara Frog,1,1,2,1,1,1,1,1,1
Amphibian,Anaxyrus microscaphus,Arizona Toad,2,1,2,2,0,2,2,2,1
Amphibian,Craugastor augusti,Barking Frog,2,2,2,2,2,1,2,2,2
Amphibian,Gastrophryne mazatlanensis,Sinaloan Narrow-mouthed Toad,2,3,2,2,2,2,2,2,1
Amphibian,Smilisca fodiens,Lowland Burrowing Treefrog,2,2,2,2,2,2,2,2,1
Amphibian,Incilius alvarius,Sonoran Desert Toad,2,2,2,2,2,2,2,2,1
Amphibian,Anaxyrus retiformis,Sonoran Green Toad,2,2,2,2,2,2,2,2,1
Amphibian,Hyla wrightorum,Arizona Treefrog,3,3,2,2,0,2,2,2,2
Bird,Falco femoralis septentrionalis,Northern Aplomado Falcon,1,1,1,1,1,2,1,2,2
Bird,Haliaeetus leucocephalus,Bald Eagle,1,1,2,1,2,1,1,2,2
Bird,Gymnogyps californianus,California Condor,1,1,2,1,2,1,1,1,2
Bird,Glaucidium brasilianum cactorum,Cactus Ferruginous Pygmy-owl,1,2,2,1,2,2,1,2,1
Bird,Colinus virginianus ridgwayi,Masked Bobwhite,1,1,2,1,1,1,1,2,1
Bird,Falco peregrinus anatum,American Peregrine Falcon,1,1,2,1,2,2,1,2,2
Bird,Rallus obsoletus yumanensis,Ridgway's Rail,1,1,2,1,0,2,2,2,2
Bird,Strix occidentalis lucida,Spotted (Mexican) Owl,1,1,2,1,2,2,1,2,2
Bird,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,1,1,1,1,0,0,0,0,0
Bird,Empidonax traillii extimus,Willow (Southwestern) Flycatcher,1,1,2,1,1,2,2,1,2
Bird,Coccyzus americanus,Yellow-billed (Western) Cuckoo,1,1,2,1,0,2,2,2,2
Bird,Melozone aberti,Abert's Towhee,2,2,2,2,2,2,2,2,1
Bird,Botaurus lentiginosus,American Bittern,2,2,2,2,1,2,2,2,2
Bird,Peucaea botterii arizonae,Arizona Botteri's Sparrow,2,2,2,2,2,2,2,2,1
Bird,Cinclus mexicanus,American Dipper,2,2,2,2,1,2,2,2,2
Bird,Falco sparverius,American Kestrel,2,N/A,2,2,1,2,2,2,2
Bird,Anthus rubescens,American Pipit,2,3,2,2,0,1,2,2,2
Bird,Dryobates arizonae,Arizona Woodpecker,2,2,2,2,2,2,2,2,1
Bird,Centronyx bairdii,Baird's Sparrow,2,3,2,2,1,2,2,2,2
Bird,Patagioenas fasciata,Band-tailed Pigeon,2,3,2,2,1,2,2,2,2
Bird,Toxostoma bendirei,Bendire's Thrasher,2,3,2,2,1,2,2,2,2
Bird,Dendrocygna autumnalis,Black-bellied Whistling-Duck,2,3,2,2,1,2,2,2,2
Bird,Pica hudsonia,Black-billed Magpie,2,2,2,2,1,2,2,2,2
Bird,Polioptila nigriceps,Black-capped Gnatcatcher,2,2,2,2,2,2,2,2,1
Bird,Setophaga nigrescens,Black-throated Gray Warbler,2,3,2,2,1,2,2,2,2
Bird,Spizella atrogularis,Black-chinned Sparrow,2,N/A,2,2,1,2,2,2,2
Bird,Lampornis clemenciae,Blue-throated Mountain-gem,2,2,2,2,1,2,2,2,1
Bird,Euphagus cyanocephalus,Brewer's Blackbird,2,N/A,2,2,1,2,2,2,2
Bird,Spizella breweri,Brewer's Sparrow,2,3,2,2,1,2,2,2,2
Bird,Cynanthus latirostris,Broad-billed Hummingbird,2,2,2,2,2,2,2,2,1
Bird,Selasphorus platycercus,Broad-tailed Hummingbird,2,N/A,2,2,1,2,2,2,2
Bird,Empidonax fulvifrons pygmaeus,Northern Buff-breasted Flycatcher,2,2,2,2,2,2,2,2,1
Bird,Antrostomus ridgwayi,Buff-collared Nightjar,2,2,2,2,0,2,2,2,1
