"","sampleId","siteId","labSplit","fieldSplit","customerAbbreviation","siteLongitude","siteLatitude","sampleDate","sampleType","sampleMethod","sampleMethodId","habitatName","habitatId","area","mesh","COMID","yr","sampleProp","tot_dens","richness","tot_abund","insect_dens","noninsect_dens","elev_m","elev_band","band_code","ecoCode","ecoName","insect_richness","noninsect_richness"
"1",138661,30093,0.375,1,"USU-Hawk",-109.997,39.6848,2002-08-30,"Benthic","Kick net",16,"Targeted Riffle","10",0.744,500,3897423,2002,0.375,1519.71326164875,27,424,1498.20788530466,21.505376344086,1400,"1400-1800 m",2,"20","Colorado Plateaus",24,3
"2",169027,8031,0.1875,1,"BLM-AIM",-109.35369,38.682461,2018-08-21,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,3378687,2018,0.1875,4724.01433691756,22,659,4207.8853046595,516.129032258065,1338,"<1400 m",1,"20","Colorado Plateaus",21,1
"3",168148,10097,1,1,"NAMC",-110.0609,39.2523,2017-09-10,"Benthic","Kick net",16,"Targeted Riffle","10",0.093,NA,3897829,2017,1,3537.63440860215,19,329,3516.12903225806,21.505376344086,1292,"<1400 m",1,"20","Colorado Plateaus",18,1
"4",134448,10096,1,1,"NAMC",-110.0741,39.2822,2007-08-16,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,3897885,2007,1,532.258064516129,18,396,454.301075268817,77.9569892473118,1287,"<1400 m",1,"20","Colorado Plateaus",16,2
"5",167661,1708,0.125,1,"USFS-R6-Fish",-112.4463852,38.37987979,2015-07-22,"Benthic","Surber net",26,"Targeted Riffle","10",0.7432,NA,1214799,2015,0.125,5737.35199138859,20,533,5059.20344456405,678.148546824543,2663,">2600 m",5,"19","Wasatch and Uinta Mountains",16,4
"6",146978,8624,0.5,1,"NPS-NCPN-ZION",-112.9377708,37.16979444,2010-06-30,"Benthic","Surber net",26,"Targeted Riffle","10",0.74,NA,10025990,2010,0.5,1554.05405405405,10,575,1532.43243243243,21.6216216216216,1239,"<1400 m",1,"20","Colorado Plateaus",9,1
"7",169049,13368,1,1,"BLM-AIM",-109.379143,37.271049,2018-10-22,"Benthic","Kick net",16,"Reachwide","8",3.3,NA,1403474,2018,1,188.181818181818,28,621,186.969696969697,1.21212121212121,1336,"<1400 m",1,"20","Colorado Plateaus",27,1
"8",130508,10120,0.3125,1,"NPS-NCPN",-109.06015,40.541217,2007-05-10,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,500,1370776,2007,0.3125,1780.64516129032,14,414,1780.64516129032,0,1539,"1400-1800 m",2,"20","Colorado Plateaus",14,0
"9",115130,3300,0.8125,1,"UDWQ",-111.4183,37.7756,2000-10-12,"Benthic","Kick net",16,"Targeted Riffle","10",0.3,300,3277839,2000,0.8125,1677.94871794872,16,409,1677.94871794872,0,1593,"1400-1800 m",2,"20","Colorado Plateaus",16,0
"10",146319,3274,0.5313,1,"UDWQ",-112.95745,37.16562,2010-09-14,"Benthic","Kick net",16,"Targeted Riffle","10",0.74,NA,10026004,2010,0.5313,1228.50122850123,13,483,1203.06642045772,25.4348080435037,1215,"<1400 m",1,"20","Colorado Plateaus",12,1
"11",169059,10445,0.875,1,"BLM-AIM",-109.291716,39.931553,2018-08-06,"Benthic","Surber net",26,"Targeted Riffle","10",0.744,NA,5309352,2018,0.875,811.059907834101,22,528,807.987711213518,3.07219662058372,1488,"1400-1800 m",2,"20","Colorado Plateaus",21,1
