"","siteId","ecoCode","ecoName"
"1",4762,"20","Colorado Plateaus"
"4",4763,"20","Colorado Plateaus"
"7",10031,"13","Central Basin and Range"
"8",8464,"20","Colorado Plateaus"
"11",5396,"20","Colorado Plateaus"
"14",5395,"20","Colorado Plateaus"
"26",10984,"13","Central Basin and Range"
"29",9573,"19","Wasatch and Uinta Mountains"
"35",4747,"13","Central Basin and Range"
"44",8463,"20","Colorado Plateaus"
"53",9575,"19","Wasatch and Uinta Mountains"
"56",9574,"19","Wasatch and Uinta Mountains"
"59",19956,"13","Central Basin and Range"
"62",21907,"20","Colorado Plateaus"
"65",23252,"13","Central Basin and Range"
"74",15674,"19","Wasatch and Uinta Mountains"
"80",14272,"20","Colorado Plateaus"
"82",23031,"19","Wasatch and Uinta Mountains"
"85",4522,"19","Wasatch and Uinta Mountains"
"86",14271,"20","Colorado Plateaus"
"102",4764,"20","Colorado Plateaus"
"105",20704,"19","Wasatch and Uinta Mountains"
"107",20705,"20","Colorado Plateaus"
"109",8200,"19","Wasatch and Uinta Mountains"
"111",12306,"19","Wasatch and Uinta Mountains"
"122",15675,"19","Wasatch and Uinta Mountains"
"140",23032,"19","Wasatch and Uinta Mountains"
"141",8616,"19","Wasatch and Uinta Mountains"
"142",8098,"20","Colorado Plateaus"
"144",4523,"20","Colorado Plateaus"
"145",4524,"20","Colorado Plateaus"
"146",4525,"20","Colorado Plateaus"
"147",12500,"20","Colorado Plateaus"
"148",12501,"20","Colorado Plateaus"
"149",12502,"20","Colorado Plateaus"
"150",4771,"20","Colorado Plateaus"
"151",4772,"20","Colorado Plateaus"
"152",4773,"20","Colorado Plateaus"
"153",4768,"20","Colorado Plateaus"
"154",4769,"20","Colorado Plateaus"
"155",4770,"20","Colorado Plateaus"
"156",4765,"20","Colorado Plateaus"
"157",4766,"20","Colorado Plateaus"
"158",4767,"20","Colorado Plateaus"
"165",5397,"19","Wasatch and Uinta Mountains"
"174",4746,"13","Central Basin and Range"
"177",4333,"13","Central Basin and Range"
"180",23253,"13","Central Basin and Range"
"183",18666,"20","Colorado Plateaus"
"186",15676,"19","Wasatch and Uinta Mountains"
"189",18610,"19","Wasatch and Uinta Mountains"
"192",18611,"19","Wasatch and Uinta Mountains"
"195",10171,"19","Wasatch and Uinta Mountains"
"199",10168,"19","Wasatch and Uinta Mountains"
"203",10174,"18","Wyoming Basin"
"211",10169,"19","Wasatch and Uinta Mountains"
"213",10173,"18","Wyoming Basin"
"245",10180,"18","Wyoming Basin"
"246",10181,"18","Wyoming Basin"
"247",10019,"18","Wyoming Basin"
"279",10165,"18","Wyoming Basin"
"280",10166,"18","Wyoming Basin"
"281",10167,"19","Wasatch and Uinta Mountains"
"400",10172,"19","Wasatch and Uinta Mountains"
"436",10175,"18","Wyoming Basin"
"448",8591,"19","Wasatch and Uinta Mountains"
"450",7272,"13","Central Basin and Range"
"451",18628,"19","Wasatch and Uinta Mountains"
"455",19220,"19","Wasatch and Uinta Mountains"
"459",28434,"19","Wasatch and Uinta Mountains"
"461",28435,"19","Wasatch and Uinta Mountains"
