"","sampleId","siteId","sampleDate","yr","ecoName","ecoCode","elev_band","band_code","richness","tot_dens","insect_dens","insect_richness","noninsect_dens","noninsect_richness"
"1",138661,30093,2002-08-30,2002,"Colorado Plateaus","20","1400-1800 m",2,27,1519.71326164875,1498.20788530466,24,21.505376344086,3
"2",169027,8031,2018-08-21,2018,"Colorado Plateaus","20","<1400 m",1,22,4724.01433691756,4207.8853046595,21,516.129032258065,1
"3",168148,10097,2017-09-10,2017,"Colorado Plateaus","20","<1400 m",1,19,3537.63440860215,3516.12903225806,18,21.505376344086,1
"4",134448,10096,2007-08-16,2007,"Colorado Plateaus","20","<1400 m",1,18,532.258064516129,454.301075268817,16,77.9569892473118,2
"5",167661,1708,2015-07-22,2015,"Wasatch and Uinta Mountains","19",">2600 m",5,20,5737.35199138859,5059.20344456405,16,678.148546824543,4
"6",146978,8624,2010-06-30,2010,"Colorado Plateaus","20","<1400 m",1,10,1554.05405405405,1532.43243243243,9,21.6216216216216,1
"7",169049,13368,2018-10-22,2018,"Colorado Plateaus","20","<1400 m",1,28,188.181818181818,186.969696969697,27,1.21212121212121,1
"8",130508,10120,2007-05-10,2007,"Colorado Plateaus","20","1400-1800 m",2,14,1780.64516129032,1780.64516129032,14,0,0
"9",115130,3300,2000-10-12,2000,"Colorado Plateaus","20","1400-1800 m",2,16,1677.94871794872,1677.94871794872,16,0,0
"10",146319,3274,2010-09-14,2010,"Colorado Plateaus","20","<1400 m",1,13,1228.50122850123,1203.06642045772,12,25.4348080435037,1
"11",169059,10445,2018-08-06,2018,"Colorado Plateaus","20","1400-1800 m",2,22,811.059907834101,807.987711213518,21,3.07219662058372,1
"12",169805,10121,2019-07-29,2019,"Colorado Plateaus","20","1400-1800 m",2,18,2585.94594594595,2412.97297297297,17,172.972972972973,1
"13",115942,10092,2001-10-14,2001,"Colorado Plateaus","20","<1400 m",1,14,584.677419354839,584.677419354839,14,0,0
"14",124773,21669,2003-07-02,2003,"Wasatch and Uinta Mountains","19","1800-2200 m",3,18,2537.63440860215,2365.59139784946,17,172.043010752688,1
"15",123847,9158,2003-07-29,2003,"Wasatch and Uinta Mountains","19","2200-2600 m",4,43,860.215053763441,860.215053763441,43,0,0
"16",141658,3266,2008-11-05,2008,"Central Basin and Range","13","<1400 m",1,20,637.837837837838,439.189189189189,17,198.648648648649,3
"17",156373,22492,2014-06-28,2014,"Wasatch and Uinta Mountains","19","2200-2600 m",4,27,2810.81081081081,2421.62162162162,19,389.189189189189,8
"18",164341,26416,2017-06-21,2017,"Colorado Plateaus","20","1400-1800 m",2,12,1209.67741935484,1206.98924731183,11,2.68817204301075,1
"19",116399,8927,2001-06-25,2001,"Wasatch and Uinta Mountains","19","1800-2200 m",3,27,2451.61290322581,2451.61290322581,27,0,0
"20",155375,13850,2014-07-30,2014,"Wasatch and Uinta Mountains","19","2200-2600 m",4,14,3794.59459459459,3740.54054054054,13,54.0540540540541,1
"21",185435,33629,2021-05-26,2021,"Colorado Plateaus","20","1800-2200 m",3,9,1681.08108108108,1645.94594594595,6,35.1351351351351,3
"22",178434,5520,2021-09-11,2021,"Wasatch and Uinta Mountains","19","1800-2200 m",3,10,490.591397849462,487.903225806452,9,2.68817204301075,1
"23",170215,12070,2019-08-04,2019,"Colorado Plateaus","20","1400-1800 m",2,15,3533.07517266158,3453.23166593477,14,79.8435067268154,1
"24",144321,10122,2010-07-29,2010,"Colorado Plateaus","20","1400-1800 m",2,16,1765.76576576577,1729.72972972973,15,36.036036036036,1
"25",141538,10122,2009-07-24,2009,"Colorado Plateaus","20","1400-1800 m",2,17,595.315315315315,593.873873873874,17,1.44144144144144,0
"26",124006,9178,2003-08-20,2003,"Wasatch and Uinta Mountains","19",">2600 m",5,18,1152.32974910394,1152.32974910394,18,0,0
"27",169045,34089,2018-06-07,2018,"Colorado Plateaus","20","1400-1800 m",2,24,3091.39784946237,2983.87096774194,23,107.52688172043,1
"28",134955,10081,2008-08-17,2008,"Colorado Plateaus","20","1400-1800 m",2,16,1266.66666666667,1245.16129032258,15,21.505376344086,1
"29",149902,23512,2010-09-11,2010,"Wasatch and Uinta Mountains","19","1800-2200 m",3,20,21075.2688172043,20860.2150537634,19,215.05376344086,1
"30",146270,3274,2010-09-14,2010,"Colorado Plateaus","20","<1400 m",1,13,1412.61261261261,1398.1981981982,12,14.4144144144144,1
"31",126803,3273,2004-09-22,2004,"Colorado Plateaus","20","<1400 m",1,14,8280.02842928216,8191.18692253021,13,88.8415067519545,1
"32",119720,9570,2002-07-19,2002,"Colorado Plateaus","20","1400-1800 m",2,12,1152.07373271889,1152.07373271889,12,0,0
"33",146981,8627,2010-06-30,2010,"Colorado Plateaus","20","<1400 m",1,13,1833.51351351351,1811.89189189189,11,21.6216216216216,2
"34",120163,3176,2002-10-08,2002,"Central Basin and Range","13","1400-1800 m",2,15,2164.87455197133,2164.87455197133,15,0,0
"35",170210,13893,2019-08-05,2019,"Colorado Plateaus","20","1400-1800 m",2,8,509.459459459459,498.648648648649,7,10.8108108108108,1
"36",141898,8627,2009-10-17,2009,"Colorado Plateaus","20","<1400 m",1,12,5405.40540540541,5329.72972972973,11,75.6756756756757,1
"37",146950,10122,2011-08-04,2011,"Colorado Plateaus","20","1400-1800 m",2,14,1545.94594594595,1540.54054054054,14,5.40540540540541,0
"38",173582,12247,2020-08-11,2020,"Colorado Plateaus","20","<1400 m",1,18,844.086021505376,689.964157706093,17,154.121863799283,1
"39",170209,26468,2019-08-05,2019,"Colorado Plateaus","20","1400-1800 m",2,16,564.864864864865,554.054054054054,15,10.8108108108108,1
"40",171618,13371,2019-08-13,2019,"Colorado Plateaus","20","<1400 m",1,19,193.333333333333,192.424242424242,17,0.909090909090909,2
"41",169063,10449,2018-08-07,2018,"Colorado Plateaus","20","1400-1800 m",2,13,10752.688172043,10709.6774193548,12,43.010752688172,1
"42",146253,2991,2010-08-24,2010,"Colorado Plateaus","20","1400-1800 m",2,10,674.324324324324,648.648648648649,9,25.6756756756757,1
"43",149921,9421,2012-08-14,2012,"Wasatch and Uinta Mountains","19","2200-2600 m",4,25,11268.8172043011,10265.2329749104,21,1003.58422939068,4
"44",151503,2916,2013-07-11,2013,"Wyoming Basin","18","1800-2200 m",3,17,3236.03603603604,3178.37837837838,16,57.6576576576577,1
"45",173510,10409,2020-09-02,2020,"Colorado Plateaus","20","1400-1800 m",2,19,1323.08863024151,1262.37328200863,18,60.7153482328798,1
"46",141881,8623,2009-06-16,2009,"Colorado Plateaus","20","<1400 m",1,14,2629.18918918919,2434.59459459459,12,194.594594594595,2
"47",171151,3024,2019-10-07,2019,"Wasatch and Uinta Mountains","19","2200-2600 m",4,17,4763.96396396396,4706.30630630631,15,57.6576576576577,2
"48",141387,23028,2009-06-03,2009,"Wasatch and Uinta Mountains","19","1800-2200 m",3,9,4513.66837812916,4456.26083118952,8,57.4075469396396,1
"49",173517,12241,2020-07-04,2020,"Colorado Plateaus","20","<1400 m",1,16,542.242703533026,336.405529953917,13,205.837173579109,3
"50",128516,10079,2006-08-08,2006,"Colorado Plateaus","20","1400-1800 m",2,21,908.602150537634,908.602150537634,21,0,0
"51",142804,3225,2007-10-10,2007,"Wasatch and Uinta Mountains","19","1800-2200 m",3,18,2532.13213213213,2306.30630630631,16,225.825825825826,2
"52",170185,19998,2019-06-21,2019,"Colorado Plateaus","20","<1400 m",1,10,1386.18618618619,1374.17417417417,9,12.012012012012,1
"53",110531,13805,1999-07-14,1999,"Wasatch and Uinta Mountains","19",">2600 m",5,11,8137.93103448276,8137.93103448276,11,0,0
"54",164795,26485,2016-06-15,2016,"Wyoming Basin","18","1800-2200 m",3,11,4215.05376344086,4118.27956989247,8,96.7741935483871,3
"55",118409,10194,2002-05-17,2002,"Colorado Plateaus","20","<1400 m",1,4,1892.47311827957,1892.47311827957,4,0,0
"56",149843,2843,2012-07-10,2012,"Wasatch and Uinta Mountains","19",">2600 m",5,26,5318.91891891892,5145.94594594595,23,172.972972972973,3
"57",146265,3268,2010-09-15,2010,"Colorado Plateaus","20","<1400 m",1,14,1816.67516573177,1757.48524805129,12,59.1899176804837,2
"58",146952,10141,2011-08-04,2011,"Colorado Plateaus","20","1400-1800 m",2,14,540.540540540541,539.189189189189,13,1.35135135135135,1
"59",127684,3612,2005-09-24,2005,"Wasatch and Uinta Mountains","19","2200-2600 m",4,19,18776.6714082504,17543.8596491228,16,1232.81175912755,3
"60",141645,3232,2008-10-22,2008,"Wasatch and Uinta Mountains","19","1800-2200 m",3,27,3195.21328557473,3073.10322370563,23,122.110061869098,4
